epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,5814.28,1.58354,1.39379,1.64443,0.84186,0.68448,0.79529,0.40977,1.5603,0.90766,1.89515,0.00295804,0.00295804,0.00295804
117,5855.73,1.63801,1.41102,1.64041,0.81327,0.70574,0.77712,0.39311,1.56571,0.94299,1.90502,0.00288006,0.00288006,0.00288006
118,5901.06,1.5327,1.3752,1.67354,0.86505,0.7512,0.8098,0.39126,1.59045,0.94002,1.8732,0.00280275,0.00280275,0.00280275
119,5944.55,1.57455,1.39783,1.61945,0.83525,0.66789,0.79471,0.41785,1.60961,0.9778,1.88077,0.00272612,0.00272612,0.00272612
120,5988.07,1.54269,1.33787,1.64751,0.82328,0.67138,0.77685,0.3784,1.6071,0.9263,1.89421,0.00265019,0.00265019,0.00265019
121,6032.23,1.57415,1.35302,1.65541,0.84364,0.68448,0.7754,0.39903,1.51657,0.90028,1.84829,0.002575,0.002575,0.002575
122,6075.38,1.59074,1.38858,1.65832,0.88874,0.63291,0.77451,0.39464,1.56216,0.96625,1.87942,0.00250056,0.00250056,0.00250056
123,6119.13,1.50917,1.31918,1.66846,0.87727,0.68448,0.80417,0.403,1.50541,0.8761,1.85753,0.0024269,0.0024269,0.0024269
124,6164.75,1.57596,1.37954,1.64135,0.80358,0.72682,0.78579,0.4139,1.47792,0.90288,1.817,0.00235404,0.00235404,0.00235404
125,6209.97,1.53316,1.30056,1.65578,0.81977,0.65311,0.74843,0.40801,1.466,0.86292,1.82029,0.002282,0.002282,0.002282
126,6251.67,1.60439,1.38357,1.62271,0.89006,0.70584,0.80171,0.40716,1.49581,0.86154,1.84849,0.0022108,0.0022108,0.0022108
127,6300.8,1.49396,1.31862,1.65507,0.89724,0.65223,0.78332,0.41383,1.43939,0.81397,1.82858,0.00214046,0.00214046,0.00214046
128,6345.21,1.52718,1.33791,1.69282,0.85897,0.70241,0.79351,0.39207,1.45567,0.84134,1.81634,0.00207102,0.00207102,0.00207102
129,6388.21,1.55984,1.31309,1.60244,0.80728,0.67943,0.75627,0.39849,1.43786,0.85329,1.82943,0.00200248,0.00200248,0.00200248
130,6435.15,1.55105,1.3535,1.652,0.8161,0.70057,0.79271,0.41586,1.45919,0.85959,1.83027,0.00193486,0.00193486,0.00193486
131,6479.58,1.54,1.34825,1.62939,0.80624,0.69162,0.79776,0.41508,1.47591,0.87439,1.84068,0.0018682,0.0018682,0.0018682
132,6524.94,1.5662,1.36881,1.64145,0.90438,0.63184,0.79012,0.42423,1.45349,0.85516,1.86448,0.00180251,0.00180251,0.00180251
133,6568.97,1.46173,1.27512,1.65637,0.82236,0.67836,0.76837,0.40249,1.54385,0.88489,1.91488,0.0017378,0.0017378,0.0017378
134,6615.55,1.55883,1.34232,1.66127,0.88171,0.61561,0.77298,0.39699,1.55975,0.88222,1.92285,0.00167411,0.00167411,0.00167411
135,6658.86,1.5498,1.33411,1.6478,0.8189,0.67911,0.76809,0.40767,1.52762,0.89309,1.89609,0.00161144,0.00161144,0.00161144
136,6700.36,1.49856,1.28981,1.6225,0.804,0.67021,0.77441,0.40377,1.46343,0.88553,1.85832,0.00154982,0.00154982,0.00154982
137,6743.99,1.48747,1.28846,1.64371,0.72724,0.69357,0.76551,0.39147,1.501,0.86351,1.89194,0.00148927,0.00148927,0.00148927
138,6797.08,1.48121,1.32644,1.64603,0.80683,0.63496,0.76765,0.37897,1.49177,0.89072,1.86054,0.0014298,0.0014298,0.0014298
139,6840.38,1.50428,1.30123,1.59339,0.7039,0.74003,0.77554,0.39676,1.49182,0.86856,1.86852,0.00137143,0.00137143,0.00137143
140,6885.99,1.48714,1.29592,1.63231,0.74392,0.70968,0.79738,0.39894,1.51771,0.85115,1.87604,0.00131419,0.00131419,0.00131419
141,6930.18,1.52027,1.28514,1.58676,0.82807,0.69642,0.80258,0.41044,1.52543,0.89099,1.87974,0.00125808,0.00125808,0.00125808
142,6974.01,1.537,1.30473,1.60255,0.866,0.65998,0.80285,0.40808,1.52625,0.90208,1.85515,0.00120313,0.00120313,0.00120313
143,7018.94,1.53232,1.31269,1.62008,0.81364,0.65943,0.78719,0.40071,1.53593,0.91563,1.8757,0.00114935,0.00114935,0.00114935
144,7064.9,1.4814,1.27994,1.60415,0.82697,0.69963,0.80746,0.41942,1.51876,0.87762,1.85085,0.00109675,0.00109675,0.00109675
